investment	투자, 투자금
incrative	수익성 있는, 돈벌이가 되는 (profit, earning, gainings 이익) (income 수입, 소득)
inherently	본질적으로 (inherent 본래 갖추어져 있는, 고유의)
secure	확보하다, 얻어 내다; 안전하게 지키다, 고정시키다
foreseeable	예견할 수 있는 (oversee 감독하다) (overseas 외국의)
innate	타고난
property	재산
on behalf of	~을 대신해서
lease	임대차(계약)
sponsor	후원하다, 후원자
propose	제안하다
support	후원, 원조, 지지, 지원하다, 후원하다; 살게하다, (생명, 기력 등을)유지하다
distributuion	분배, 배급
consider	고려하다
nearly	거의, 대략
consent	동의, 허락, 동의하다 (consentaneous일치하는)
gratitude	고마움, 감사
consult	상의하다, 상담하다
advice	조언, 충고
partially	부분적으로, 일부분은
evident	분명한, 명백한,
reliability	신뢰도, 믿음직함
cautious	조심하는, 신중한
insight	식견, 통찰력
portfolio	포트폴리오, 투자 자산 구성
possible	가능한, 있음직한
speculation	추측 (speculate, suppose, guess, infer 추측하다)
solely	오로지, 혼자서, 전적으로
entrepreneur	사업가
eventually	결국, 마침내
shareholder	주주
outlook	전망
stability	안정, 안정성
bond	채권
depreciation	가치 하락, 화폐의 구매력 저하 (depreciate : ~의 가치를 떨어뜨리다, 가치가 떨어지다)
increasing	증가하는
prevalent	유행하고 있는, 널리 퍼진 (prevalence 보급, 유행)
rapid	빠른, 신속한
unprecedented	전례 없는 (precedented 전례가 있는)
yield	(이윤을) 가져오다, 산출하다
