complaint	불평
deal	처리하다; 거래하다; 분배하다
argumentative	논쟁적인, 논쟁을 좋아하는
appropriately	적절하게(appropriate 적합한)
respond	응답하다
infuriate	화나게하다, 격분시키다
curteous	예의바른
satisfaction	만족
inconvenience	불편, ~에게 불편을 느끼게 하다
complete	완료하다, 완성하다, 완료된, 완성된
specific	구체적인, 명확한
return	반환하다, 반송하다
replace	~을 교체하다, 대체하다
presentation	발표
evaluation	평가
confident	자신 있는
cause	~을 야기하다, ~의 원인이 되다; 원인
commentary	해설, 설명(comment 해설하다,논평, 주석을달다)
notification	통지
apologize	사과하다
interact	소통하다, 교류하다; 상호작용을 하다
certain	확신하는, 확실한; 특정한
commitment	헌신, 전념
applaud	~에게 박수를 보내다; 칭찬하다
biography	약력, 전기
critical	비판적인; 중요한; 위기의
depend on	~에 달려 있다, ~에게 의존하다
combine	결합시키다
priority	우선권, 우선사항
observe	관찰하다, 주시하다; (규칙 등을)준수하다, 지키다
defective	결함이 있는
reflect	반영하다, 나타내다
attitude	태도, 마음가짐
disappoint	실망시키다
inquire	문의하다, 질문하다
insert	삽입하다
disclose	공개하다, 드러내다
guarantee	보장하다, 보장
politely	공손하게, 예의바르게
seriously	진지하게
