advertisement	광고
marginal	약간의; 주변의
customer	고객
influence	~에 영향을 주다, 영향
instantly	즉각적으로, 즉시
creative	창조적인, 독창적인
aggressively	적극적으로
aim	~을 겨누다, 목표, 목적
strategy	전략
indicate	보여주다, 나타내다
attract	끌다, 유인하다
experience	경험, 체험, 체험하다, 경험하다
analyze	분석하다, 분석적으로 검토하다
introduce	(신제품을)발표하다, 소개하다
advise	조언해주다, 충고하다
subscribe	구독하다
absence	부재; 결근, 결석
means	방법, 수단
prefer	(다른 것보다)~을 더 좋아하다, 선호하다
advantage	이점, 강점
forward	앞으로, (물건, 정보를)보내다
contemporary	동시대의; 현대의, 당대의
discussion	토론, 토의
initial	처음의, 최초의
steadily	착실하게; 꾸준히
necessarily	반드시
resolve	(문제 등을)해결하다
detect	간파하다, 탐지하다
intensify	강화하다, 증대하다, 강렬하게 만들다.
favorably	호의적으로; 순조롭게
cover	포함하다; 지불하다; 덮다
less	보다 적은, 덜한
majority	대부분, 대다수
adopt	채택하다
largely	주로, 대부분
disregard	소홀히 하다, 무시하다
effort	노력
incentive	혜택, 장려금
need	필요, 요구, 욕구, ~할 필요가 있다.
mastermind	(계획 등의)입안자, 지도자
