research	연구, 조사
devise	고안하다, 발명하다
revolutionary	혁명적인
innovative	혁신적인
feature	특징, 특색, 특징으로 삼다, 특별히 포함하다
inspiration	영감
sufficiently	충분히(sufficient 충분한, 충분)
patent	특허, 특허권, 특허품
envision	(장래의 일 등을) 계획하다, 상상하다
extend	연장하다; (기간을) 늘리다; (감사의 뜻을)말하다, 베풀다
following	~후에, 다음의, 다음에 오는
intend	~할 작정이다; 의도하다
grant	(인정하여 정식으로)수여하다, 주다, (연구비, 장학금등의) 보조금
allow	~하게 하다, ~을 허락하다
inspect	~을 검사하다, 조사하다
improve	향상시키다, 개선하다
increasingly	점점, 더욱 더
invest	투자하다, 운용하다
various	여러 가지의, 가지각색의
upgrade	업그레이드, 개량형; 업그레이드하다, 개선하다
manual	설명서, 안내서
explore	조사하다, 탐구하다
response	응답, 대답
appearance	외관, 외모
successful	성공적인, 성공한
hold	~을 수용하다, ~을 담다; (회의 등을)개최하다, 열다
advance	진보, 전진
reliable	믿을 만한, 신뢰할 수 있는
quality	품질, 질
domestic	국내의, 국산의
development	개발, 발전
availability	(입수)가능성, 유효성, 유용성
update	갱신, 개정, 갱신하다, 최신의 것으로 하다
accurate	정확한
complicate	복잡한(complicatedly복잡하게)
accomplished	숙련된, 노련한
inquiry	문의, 질문
indication	징후, 조짐
manufacturer	제조회사, 제조업자
compatible	호환되는, 양립할 수 있는(compatibility 양립성, 호환성)
superior	우수한, 상급의
absolute	완전한, 완전무결한
broaden	넓히다
corrosion	부식
