epuipment	장비, 설비
automate	자동화하다
specification	명세서, 설명서, 사양
properly	제대로, 정확하게
safety	안전
precaution	예방조치, 예방책
operate	(기계 등이)작동하다, 움직이다
processing	가공, 처리(process 과정, 진행, 처리하다)
capacity	용량, 수용력; 역할
assemble	(부품,기계 등을)조립하다; (사람을)모으다
utilize	이용하다, 활용하다
place	~을-한 상태에 두다; (지시,주문,신청등을)하다
fill	~을 채우다; (주문대로)이행하다
manufacturing	제조(업)의
renovate	(낡은 건물, 가구등을)개조하다, 수리하다, 보수하다
decision	결정, 판단
material	재료, 물질
success	성과, 성공
attribute	(원인을)~의 덕분으로 돌리다
efficiency	효율, 능률
limit	한계, 제한
tailored	맞춤의, 주문에 따라 맞춘
component	부품, (구성)요소
capable	~을 할 수 있는, ~할 능력이 있는
economize	절약하다, 아끼다
flexible	융통성 있는; 유연한, 잘 구부러지는
comparable	필적하는, 비교되는
produce	생산하다
respectively	각각, 따로(respective 각각의)
device	장치
trim	(깍아)다듬다, 없애다; 삭감하다
launch	(신제품을)출시하다
separately	개별적으로, 따로따로
expiration	(기간,임기 등의)만료, 만기
maneuver	이동시키다, 움직이다
coming	다가오는
damaged	손상된, 손해를 입은
prevent	~을 막다, ~을 예방하다
power	전력, 전기
chemical	화학제품
